,Cif_num,MP_num,Bulk_Modulus
0,250065,mp-801,290.754
1,250101,mp-979040,NA
2,250101,mp-768,77.938
3,250125,mp-1139,289.004
4,250125,mp-1008279,255.044
5,250125,mp-1226451,NA
6,250191,mp-1232,265.997
7,250191,mp-1186016,NA
8,250225,mp-1220074,NA
9,250225,mp-11506,214.559
10,250236,mp-1326,165.507
11,250328,mp-674,109.965
12,250329,mp-2092,NA
13,250330,mp-1571,111.571
14,250331,mp-2333,115.77
15,250332,mp-357,120.483
16,250333,mp-636279,NA
17,250334,mp-21427,NA
18,250335,mp-2747,126.101
19,250336,mp-797,127.136
20,250337,mp-1979,127.535
21,250338,mp-2825,129.717
22,250340,mp-1158,134.504
23,250363,mp-633,NA
24,250364,mp-1911,58.694
25,250365,mp-376,NA
26,250366,mp-1977,56.558
27,250367,mp-2484,57.389
28,250368,mp-20387,NA
29,250369,mp-19919,NA
30,250369,mp-623460,NA
31,250372,mp-20131,54.648
32,250373,mp-20729,49.718
33,250374,mp-20369,NA
34,250375,mp-20903,NA
35,250376,mp-21197,53.471
36,250377,mp-19977,NA
37,250378,mp-20258,NA
38,250379,mp-20920,55.261
39,250380,mp-20236,NA
40,250381,mp-21431,NA
41,250382,mp-1291,55.358
42,250383,mp-21177,NA
43,250385,mp-977,54.557
44,250390,mp-801,290.754
45,250394,mp-1192425,NA
46,250394,mp-2588,NA
47,250399,mp-1216480,NA
48,250399,mp-22568,168.668
49,250404,mp-16513,67.772
50,250410,mp-865411,NA
51,250411,mp-976358,NA
52,250411,mp-1080098,NA
53,250462,mp-1101986,NA
54,250463,mp-1192321,NA
55,250463,mp-1102392,NA
56,250464,mp-1192425,NA
57,250464,mp-2588,NA
58,250465,mp-569196,134.739
59,250468,mp-19977,NA
60,250476,mp-20309,NA
61,250502,mp-865527,71.156
62,250502,mp-11232,44.973
63,250502,mp-11231,75.089
64,250502,mp-2451,73.368
65,250503,mp-865411,NA
66,250504,mp-16513,67.772
67,250505,mp-12553,66.405
68,250505,mp-570409,67.033
69,250506,mp-567305,69.357
70,250507,mp-959,62.476
71,250508,mp-1184171,NA
72,250508,mp-2134,76.715
73,250508,mp-862656,77.304
74,250525,mp-1409,189.934
75,250527,mp-21432,45.604
76,250530,mp-1220420,NA
77,250530,mp-1451,205.155
78,250530,mp-999188,198.862
79,250530,mp-11513,197.23
80,250530,mp-999378,200.065
81,250554,mp-1226802,NA
82,250561,mp-30745,351.058
83,250562,mp-1219506,NA
84,250562,mp-30866,283.306
85,250563,mp-11482,337.214
86,250564,mp-1221397,NA
87,250564,mp-30787,268.97
88,250628,mp-1018021,NA
89,250628,mp-1220660,NA
90,250628,mp-977426,NA
91,250628,mp-570557,200.821
92,250646,mp-2351,179.331
93,250648,mp-790,182.998
94,250649,mp-481,198.156
95,250650,mp-2092,NA
96,250651,mp-21427,NA
97,250652,mp-718,145.871
98,250652,mp-1218937,NA
99,250668,mp-640095,34.102
100,250679,mp-20309,NA
101,250693,mp-2092,NA
102,250717,mp-1189958,NA
103,250717,mp-1186855,NA
104,250717,mp-369,NA
105,250717,mp-867232,NA
106,250718,mp-865411,NA
107,250735,mp-1220420,NA
108,250735,mp-1451,205.155
109,250735,mp-999188,198.862
110,250735,mp-11513,197.23
111,250735,mp-999378,200.065
112,250737,mp-569776,NA
113,250737,mp-891,218.13
114,250737,mp-570491,221.413
115,250737,mp-1217931,NA
116,250740,mp-1082,319.895
117,250740,mp-865496,321.154
118,250742,mp-2006,239.084
119,250752,mp-1080590,NA
120,250753,mp-30386,NA
121,250754,mp-1080756,NA
122,250763,mp-980752,NA
123,250765,mp-1101053,NA
124,250809,mp-2465,172.498
125,250810,mp-1549,169.757
126,250891,mp-674,109.965
127,250892,mp-2092,NA
128,250893,mp-1571,111.571
129,250894,mp-559,124.541
130,250920,mp-30634,NA
131,250934,mp-718,145.871
132,250934,mp-1218937,NA
133,250962,mp-20971,198.87
134,250963,mp-20516,NA
135,250977,mp-1051,NA
